Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
185,-965.2134,0.0238,-0.0482,0.0000,10.40
186,-946.4310,0.0898,-0.0490,0.0000,10.09
187,-1057.0601,0.0288,0.0081,0.0000,10.37
188,-933.5915,0.0394,-0.0218,0.0000,10.30
189,-1016.7799,0.0199,-0.1059,0.0000,10.08
190,-949.9031,0.0478,-0.0305,0.0000,10.49
191,-980.5070,0.0399,-0.0776,0.0000,10.02
192,-1001.3472,0.0378,-0.0878,0.0000,10.35
193,-920.2417,0.0423,-0.0693,0.0000,10.05
194,-929.5580,0.0312,-0.0593,0.0000,10.32
195,-879.1255,0.0325,-0.0854,0.0000,10.45
196,-963.3064,0.0226,-0.0368,0.0000,10.07
197,-897.3395,0.0250,-0.0525,0.0000,10.10
198,-907.0755,0.0479,-0.0728,0.0000,10.30
199,-849.6586,0.0311,-0.0811,363.6648,10.27
200,-925.1730,0.0375,-0.0460,0.0000,59.76
201,-871.9038,0.0368,-0.0759,0.0000,9.86
202,-827.2954,0.0364,-0.0542,0.0000,9.83
203,-890.0239,0.0360,-0.0587,0.0000,10.15
204,-902.5385,0.0227,-0.0781,0.0000,10.20
205,-918.0028,0.0325,-0.0772,0.0000,10.03
206,-977.9709,0.0240,-0.0741,0.0000,10.00
207,-780.5849,0.0750,-0.0734,0.0000,10.38
208,-923.0386,0.0388,-0.0558,0.0000,10.26
209,-922.4384,0.0280,-0.0524,0.0000,10.00
210,-718.4552,0.0920,-0.0991,0.0000,10.60
211,-905.2766,0.0383,-0.0626,0.0000,9.92
212,-916.8010,0.0212,-0.1022,0.0000,10.10
213,-836.2940,0.1544,-0.0083,0.0000,10.22
214,-865.3691,0.0734,-0.0486,0.0000,10.40
215,-870.2796,0.0655,-0.0106,0.0000,10.31
216,-881.8996,0.0287,-0.0566,0.0000,10.03
217,-901.5962,0.1656,-0.0528,0.0000,10.28
218,-882.8371,0.0334,-0.0652,0.0000,10.39
219,-924.5447,0.0395,-0.0617,647.5463,10.15
220,-708.5177,0.4438,-0.0520,0.0000,59.59
221,-881.7593,0.1025,-0.0604,0.0000,9.65
222,-800.4923,0.0901,0.0403,0.0000,10.09
223,-797.9712,0.0298,-0.0766,0.0000,10.18
224,-608.8231,0.0845,-0.0607,0.0000,10.15
225,-781.4274,0.1284,-0.0320,0.0000,9.88
226,-598.1768,0.0977,-0.0861,0.0000,10.38
